code,date,ret,label,er10_t4,volshrink,pillar_pct,pillar_body_atr,pillar_vr20,pillar_volmult,breakout,clean_max_body,clean_max_vr,test_vol_ratio,hold_depth,t_close_vs_pillar,pb20_t,roc60_t,roc120_t,bias120_t,atrp30_t,er20_t,win
sh.600004,2019-09-23,0.07710390220968502,tp,0.19865319865319964,0.9421377929315081,6.2944,1.6724470134874752,1.6166920081385545,1.589505227952032,-0.0028571428571428914,1.1889952153110008,1.2248941778025955,0.5653535932900867,1.0322580645161292,0.22580645161290092,0.8889132060357785,0.17733795938021268,0.44976663469011324,0.25732145732902545,0.033867420672321735,0.45549738219895275,True
sh.600004,2023-07-06,-0.02953020134228197,stop,0.14999999999999933,1.0469295999036277,5.1604,1.8207381370826,2.1024531753295235,1.8380892638592972,-0.11398354876615757,1.51592356687899,2.365385163554348,0.3397227595789676,0.8243243243243219,-0.17567567567567813,0.7767606107578605,-0.10479041916167686,0.022571819425444506,0.008771929824561271,0.02630992196209587,0.25290023201856043,False
sh.600007,2019-10-16,-0.03687396807925161,stop,0.1573033707865161,0.9662516703744342,6.2537,2.4418604651162807,3.0781720266068526,3.8748485435930107,0.03240740740740744,1.3144104803493422,1.8962101374313345,0.3395340437342051,0.9142857142857148,0.10476190476190321,1.0101675135670791,0.07613908872901676,0.22633215897295078,0.17027476523275933,0.02183844011142061,0.243654822335026,False
sh.600011,2021-11-01,-0.12955465587044548,stop,0.05213270142180052,0.757749539650783,10.0291,1.5266821345707664,1.2037033686606569,1.7600027067181763,-0.1368301026225769,1.3628318584070815,1.6950873593756381,0.8242356767248878,0.8404255319148937,-0.1595744680851064,0.5683101815523116,0.9681697612732096,0.8363257195070777,0.4676916869931345,0.08593890386343214,0.09945750452079553,False
sh.600011,2023-01-03,-0.05904522613065327,stop,0.0655737704918042,0.7118975901376803,7.3487,1.8743169398907087,2.3983708417852734,2.865777615821667,-0.14857142857142847,1.1183431952662732,1.513216343561591,0.49851670054733693,1.0204081632653041,0.9387755102040779,1.0992313276527217,0.04353562005277034,-0.02103960396039617,0.045938887725755086,0.03754740834386856,0.024691358024691103,False
sh.600023,2023-10-31,-0.035242290748898675,stop,0.028571428571428012,0.9422303475029515,6.6508,2.083720930232553,1.8415600730508521,1.6056836606645377,-0.11439842209073003,1.5460122699386483,3.091440700829753,0.6095901729975988,1.0625000000000018,0.21875000000000025,1.0231388366626564,-0.053941908713692976,-0.02564102564102555,-0.02978723404255338,0.028508771929824598,0.18699186991869926,False
sh.600027,2020-05-28,-0.02399999999999999,stop,0.3478260869565218,0.779672475628497,5.3221,1.7499999999999978,1.5839110048147793,1.9528699499762823,-0.005291005291005346,1.290780141843974,1.9395625923461202,0.5599162406305405,1.0,0.0,0.7730729202058313,0.1393939393939394,0.005405840836281817,0.06923267319259911,0.027216312056737607,0.13559322033898272,False
sh.600027,2022-08-17,0.08285984848484823,tp,0.3086419753086431,0.7738534754908087,7.7093,1.8187384892204859,2.6031221178071555,3.1362350299629003,0.014165021713383075,1.0157728706624571,0.9347567673372951,0.7871924082143041,1.428571428571431,1.1142857142857234,1.1017825380935895,0.5300689528362601,0.38236427669612616,0.37565060234556985,0.038329439701584395,0.3097009632619382,True
sh.600027,2023-06-01,-0.051649928263988266,stop,0.04878048780487817,0.9255445322685152,10.0464,1.9761431411530817,1.746303417412955,1.6974191656805466,0.0626865671641792,1.618090452261307,2.6390099837315555,0.6525048651163489,0.8178624656961688,-0.18213753430383114,0.8697557118006275,0.16511372510737998,0.2136601303201875,0.1808075058099336,0.04415417409378663,0.18773024104977573,False
sh.600027,2023-06-29,-0.060561299852289495,stop,0.11450381679389335,0.9046205021392126,5.7453,1.4495912806539495,1.443722967829285,1.7091906535224166,-0.0695813142919327,1.9761431411530817,1.746303417412955,0.60215552042399,0.9473684210526307,-0.052631578947369244,0.6362310703797556,0.1892579381822581,0.26455546127014795,0.11217156295821036,0.044917096189982644,0.15807270609389956,False
